"","Kommunenummer","Kommunenavn","Formueskatt","Helsefagarbeidere","Sykepleiere","Land","Sted"
"1","3001","Halden",53744000,69,61,"Norge","Halden, Norge"
"2","3002","Moss",147882000,191,167,"Norge","Moss, Norge"
"3","3003","Sarpsborg",105789000,137,120,"Norge","Sarpsborg, Norge"
"4","3004","Fredrikstad",181817000,235,205,"Norge","Fredrikstad, Norge"
"5","3005","Drammen",262249000,338,296,"Norge","Drammen, Norge"
"6","3006","Kongsberg",73445000,95,83,"Norge","Kongsberg, Norge"
"7","3007","Ringerike",71534000,92,81,"Norge","Ringerike, Norge"
"8","3011","Hvaler",17868000,23,20,"Norge","Hvaler, Norge"
"9","3012","Aremark",4017000,5,5,"Norge","Aremark, Norge"
"10","3013","Marker",8786000,11,10,"Norge","Marker, Norge"
"11","3014","Indre Østfold",91718000,118,104,"Norge","Indre Østfold, Norge"
"12","3015","Skiptvet",6060000,8,7,"Norge","Skiptvet, Norge"
"13","3016","Rakkestad",18712000,24,21,"Norge","Rakkestad, Norge"
"14","3017","Råde",15340000,20,17,"Norge","Råde, Norge"
"15","3018","Våler (Viken)",7582000,10,9,"Norge","Våler (Viken), Norge"
"16","3019","Vestby",39313000,51,44,"Norge","Vestby, Norge"
"17","3020","Nordre Follo",199488000,257,225,"Norge","Nordre Follo, Norge"
"18","3021","Ås",45418000,59,51,"Norge","Ås, Norge"
"19","3022","Frogn",70506000,91,80,"Norge","Frogn, Norge"
"20","3023","Nesodden",57207000,74,65,"Norge","Nesodden, Norge"
"21","3024","Bærum",1204749000,1555,1361,"Norge","Bærum, Norge"
"22","3025","Asker",526680000,680,595,"Norge","Asker, Norge"
"23","3026","Aurskog-Høland",28441000,37,32,"Norge","Aurskog-Høland, Norge"
"24","3027","Rælingen",43679000,56,49,"Norge","Rælingen, Norge"
"25","3028","Enebakk",16129000,21,18,"Norge","Enebakk, Norge"
"26","3029","Lørenskog",131282000,169,148,"Norge","Lørenskog, Norge"
"27","3030","Lillestrøm",205304000,265,232,"Norge","Lillestrøm, Norge"
"28","3031","Nittedal",64975000,84,73,"Norge","Nittedal, Norge"
"29","3032","Gjerdrum",19825000,26,22,"Norge","Gjerdrum, Norge"
"30","3033","Ullensaker",83284000,107,94,"Norge","Ullensaker, Norge"
"31","3034","Nes",34793000,45,39,"Norge","Nes, Norge"
"32","3035","Eidsvoll",39774000,51,45,"Norge","Eidsvoll, Norge"
"33","3036","Nannestad",21745000,28,25,"Norge","Nannestad, Norge"
"34","3037","Hurdal",4508000,6,5,"Norge","Hurdal, Norge"
"35","3038","Hole",28584000,37,32,"Norge","Hole, Norge"
"36","3039","Flå",3297000,4,4,"Norge","Flå, Norge"
"37","3040","Nesbyen",12386000,16,14,"Norge","Nesbyen, Norge"
"38","3041","Gol",17035000,22,19,"Norge","Gol, Norge"
"39","3042","Hemsedal",12634000,16,14,"Norge","Hemsedal, Norge"
"40","3043","Ål",12012000,15,14,"Norge","Ål, Norge"
"41","3044","Hol",25412000,33,29,"Norge","Hol, Norge"
"42","3045","Sigdal",12398000,16,14,"Norge","Sigdal, Norge"
"43","3046","Krødsherad",8162000,11,9,"Norge","Krødsherad, Norge"
"44","3047","Modum",28709000,37,32,"Norge","Modum, Norge"
"45","3048","Øvre Eiker",63021000,81,71,"Norge","Øvre Eiker, Norge"
